n,Serie_Armonica,Serie_Inversos_Cuadrados
3448,8.7229103013,1.6446440857
3496,8.7367334155,1.6446480666
3544,8.7503680535,1.6446519396
3593,8.7640976050,1.6446557866
3643,8.7779157052,1.6446596055
3693,8.7915454649,1.6446633209
3744,8.8052590436,1.6446670085
3796,8.8190505364,1.6446706663
3848,8.8326544087,1.6446742254
3901,8.8463320412,1.6446777552
3955,8.8600779620,1.6446812543
4010,8.8738868683,1.6446847214
4065,8.8875076831,1.6446880946
4121,8.9011881211,1.6446914367
4178,8.9149232767,1.6446947465
4236,8.9287084029,1.6446980229
4294,8.9423060804,1.6447012109
4353,8.9559510654,1.6447043666
4413,8.9696389715,1.6447074893
4474,8.9833655596,1.6447105782
4536,8.9971267355,1.6447136326
4599,9.0109185478,1.6447166519
4663,9.0247371850,1.6447196356
4727,9.0383674673,1.6447225386
4792,9.0520231416,1.6447254075
4858,9.0657006939,1.6447282420
4925,9.0793967379,1.6447310418
4993,9.0931080123,1.6447338065
5062,9.1068313779,1.6447365360
5132,9.1205638154,1.6447392300
5203,9.1343024215,1.6447418885
5275,9.1480444070,1.6447445114
5348,9.1617870931,1.6447470985
5422,9.1755279090,1.6447496501
5497,9.1892643887,1.6447521660
5573,9.2029941681,1.6447546464
5650,9.2167149820,1.6447570914
5728,9.2304246615,1.6447595011
5807,9.2441211308,1.6447618757
5887,9.2578024044,1.6447642155
5968,9.2714665846,1.6447665206
6051,9.2852771202,1.6447688186
6135,9.2990625194,1.6447710809
6220,9.3128212343,1.6447733081
6306,9.3265517925,1.6447755003
6393,9.3402527942,1.6447776580
6482,9.3540771833,1.6447798054
6572,9.3678652225,1.6447819177
6663,9.3816158169,1.6447839956
6755,9.3953279327,1.6447860393
6849,9.4091466017,1.6447880708
6944,9.4229209241,1.6447900680
7040,9.4366501351,1.6447920315
7138,9.4504736149,1.6447939814
7237,9.4642467876,1.6447958976
7337,9.4779691298,1.6447977806
7439,9.4917745869,1.6447996492
7542,9.5055246367,1.6448014848
7647,9.5193497416,1.6448033052
7753,9.5331152989,1.6448050928
7860,9.5468211622,1.6448068485
7969,9.5605927001,1.6448085885
8079,9.5743009340,1.6448102968
8191,9.5880679758,1.6448119891
8305,9.6018888904,1.6448136647
8420,9.6156401534,1.6448153091
8537,9.6294391694,1.6448169365
8655,9.6431659015,1.6448185334
8775,9.6569346922,1.6448201132
8897,9.6707412828,1.6448216757
9020,9.6844707093,1.6448232082
9145,9.6982328994,1.6448247235
9272,9.7120239747,1.6448262211
9401,9.7258401954,1.6448277008
9531,9.7395730473,1.6448291516
9663,9.7533268458,1.6448305847
9797,9.7670981954,1.6448320000
9933,9.7808838275,1.6448333974
10071,9.7946805972,1.6448347768
10211,9.8084854805,1.6448361380
10353,9.8222955711,1.6448374812
10497,9.8361080778,1.6448388061
10643,9.8499203214,1.6448401128
10791,9.8637297315,1.6448414013
10941,9.8775338433,1.6448426717
11093,9.8913302954,1.6448439240
11247,9.9051168259,1.6448451582
11403,9.9188912700,1.6448463745
11561,9.9326515568,1.6448475729
11721,9.9463957065,1.6448487535
11884,9.9602059743,1.6448499236
12049,9.9739941095,1.6448510759
12216,9.9877584412,1.6448522103
12386,10.0015781140,1.6448533338
12558,10.0153686713,1.6448544395
12732,10.0291287239,1.6448555277
12909,10.0429344186,1.6448566045
13088,10.0567049262,1.6448576639
13270,10.0705144707,1.6448587117
13454,10.0842845667,1.6448597423
13641,10.0980875612,1.6448607611
13830,10.1118472424,1.6448617629
14022,10.1256341265,1.6448627529
14217,10.1394445443,1.6448637310
14414,10.1532055885,1.6448646923
14614,10.1669851306,1.6448656417
14817,10.1807798588,1.6448665791
15023,10.1945865859,1.6448675045
15232,10.2084022472,1.6448684177
15444,10.2222238970,1.6448693189
15659,10.2360487056,1.6448702078
15877,10.2498739567,1.6448710846
16098,10.2636970440,1.6448719493
16322,10.2775154681,1.6448728017
16549,10.2913268339,1.6448736421
16779,10.3051288472,1.6448744703
17012,10.3189193120,1.6448752865
17248,10.3326961272,1.6448760908
17488,10.3465144661,1.6448768864
17731,10.3603136629,1.6448776700
17977,10.3740919200,1.6448784418
18227,10.3879023867,1.6448792047
18480,10.4016870661,1.6448799558
18737,10.4154978074,1.6448806979
18997,10.4292783356,1.6448814283
19261,10.4430792290,1.6448821498
19529,10.4568970869,1.6448828623
19800,10.4706781339,1.6448835631
20075,10.4844711101,1.6448842549
20354,10.4982729616,1.6448849377
20637,10.5120807532,1.6448856114
20924,10.5258916652,1.6448862760
21215,10.5397029906,1.6448869315
21510,10.5535121320,1.6448875779
21809,10.5673165987,1.6448882153
22112,10.5811140035,1.6448888436
22419,10.5949020598,1.6448894628
22731,10.6087225717,1.6448900750
23047,10.6225282477,1.6448906782
23367,10.6363171120,1.6448912724
23692,10.6501294863,1.6448918594
24021,10.6639202066,1.6448924375
24355,10.6777286407,1.6448930084
24694,10.6915514907,1.6448935720
25037,10.7053456449,1.6448941268
25385,10.7191490888,1.6448946743
25738,10.7329588694,1.6448952145
26096,10.7467721497,1.6448957475
26459,10.7605862060,1.6448962732
26827,10.7743984248,1.6448967917
27200,10.7882062994,1.6448973028
27578,10.8020074276,1.6448978067
27962,10.8158352708,1.6448983047
28351,10.8296508828,1.6448987953
28745,10.8434521772,1.6448992788
29145,10.8572714709,1.6448997562
29550,10.8710716081,1.6449002265
29961,10.8848841681,1.6449006907
30378,10.8987060653,1.6449011488
30801,10.9125343340,1.6449016009
31229,10.9263341048,1.6449020458
31663,10.9401355419,1.6449024847
32103,10.9539360024,1.6449029176
32550,10.9677636734,1.6449033454
33003,10.9815845604,1.6449037670
33462,10.9953963528,1.6449041826
33927,11.0091968389,1.6449045922
34399,11.0230129733,1.6449049967
